,Unnamed: 0,ingredient,price,metric
0,0.0,lemon,0.99,lb
1,1.0,cream,15.96,lb
2,2.0,yogurt,4.46,lb
3,3.0,vanilla,111.84,lb
4,4.0,shrimp,12.99,lb
5,5.0,cilantro,4.33,lb
6,6.0,jalapeno,1.15,lb
7,7.0,parsley,4.97,lb
8,8.0,vinegar,1.24,lb
9,9.0,tortillas,4.78,lb
10,10.0,red pepper,1.5,lb
11,11.0,fish,9.99,lb
12,12.0,avocado,2.58,lb
13,13.0,lime,2.0,lb
14,14.0,chicken stock,0.7,lb
15,15.0,parmesan,4.99,lb
16,16.0,vegetable stock,0.7,lb
17,17.0,beef stock,0.7,lb
18,18.0,garam masala,79.88,lb
19,19.0,spinach,2.99,lb
20,20.0,soy sauce,1.49,lb
21,0.0,flour,0.528,lb
22,1.0,rice,0.755,lb
23,2.0,spaghetti,1.248,lb
24,3.0,"bread, white",1.49,lb
25,4.0,"bread, whole wheat",1.938,lb
26,5.0,cookies,3.317,lb
27,6.0,ground chuck beef,3.211,lb
28,7.0,ground beef,2.774,lb
29,8.0,ground beef extra lean,3.878,lb
30,9.0,chuck roast,3.64,lb
31,10.0,chuck roast boneless,4.306,lb
32,11.0,round roast boneless,4.429,lb
33,12.0,round roast,4.125,lb
34,13.0,beef for stew,4.326,lb
35,14.0,steak,4.554,lb
36,15.0,sirloin steak,5.271,lb
37,16.0,bacon,4.84,lb
38,17.0,pork chops bone-in,3.737,lb
39,18.0,pork chops boneless,4.065,lb
40,19.0,ham,2.294,lb
41,20.0,ham,3.522,lb
42,21.0,bologna,3.033,lb
43,22.0,whole chicken,1.305,lb
44,23.0,chicken breast bone-in,2.307,lb
45,24.0,chicken legs,1.452,lb
46,25.0,turket,1.581,lb
47,26.0,eggs,1.683,dozen
48,27.0,milk,3.622,gal
49,28.0,butter,3.605,lb
50,29.0,american cheese,3.922,lb
51,30.0,cheddar cheese,5.443,lb
52,31.0,ice cream,4.854,lb
53,32.0,apples,1.317,lb
54,33.0,banana,0.614,lb
55,34.0,orange,1.014,lb
56,35.0,grapefruit,1.055,lb
57,36.0,lemon,1.465,lb
58,37.0,pear,1.389,lb
59,38.0,peach,1.767,lb
60,39.0,strawberry,1.613,12 oz
61,40.0,grapes,2.378,lb
62,41.0,cherries,3.828,lb
63,42.0,potatoe,0.685,lb
64,43.0,iceburg lettuce,0.967,lb
65,44.0,tomato,1.559,lb
66,45.0,cabbage,0.687,lb
67,46.0,celery,1.018,lb
68,47.0,pepper,2.521,lb
69,48.0,brocolli,1.758,lb
70,49.0,orange juice,2.634,12 oz
71,50.0,bean,1.376,lb
72,51.0,sugar,0.684,lb
73,52.0,margarine,1.153,lb
74,53.0,peanut butter,1.961,lb
75,54.0,coffee,5.234,lb
76,55.0,wine,11.928,lb
77,56.0,all uncooked ground beef,3.497,lb
78,57.0,all uncooked beef roasts,4.439,lb
79,58.0,other steaks,5.833,lb
80,59.0,other beefs,3.865,lb
81,60.0,other pork chops,3.55,lb
82,61.0,other pork,2.566,lb
83,62.0,chicken breast boneless,3.127,lb
84,63.0,romaine lettuce,1.638,lb
85,64.0,salt,2.5,oz
86,65.0,pepper,4.0,oz
87,66.0,cinnamon,5.0,oz
88,67.0,paprika,3.5,oz
89,68.0,garlic powder,4.5,oz
90,69.0,onion powder,4.25,oz
91,70.0,turmeric,6.0,oz
92,71.0,ginger,5.5,oz
93,72.0,cumin,4.75,oz
94,73.0,oregano,3.75,oz
95,74.0,basil,3.25,oz
96,75.0,thyme,3.75,oz
97,76.0,parsley,3.0,oz
98,77.0,nutmeg,6.5,oz
99,78.0,cloves,7.0,oz
0,,tomatoes,1.99,lb
1,,black pepper,18.99,oz
2,,chili,2.5,each
3,,coriander,12.99,oz
4,,jalapenos,1.25,each
5,,mango,1.5,each
6,,oil,4.99,bottle
7,,olives,5.99,jar
8,,onions,1.29,lb
9,,peppers,2.49,lb
10,,pork loin,6.99,lb
0,,tomatoes,1.99,lb
1,,black pepper,18.99,oz
2,,chili,2.5,each
3,,coriander,12.99,oz
4,,jalapenos,1.25,each
5,,mango,1.5,each
6,,oil,4.99,bottle
7,,olives,5.99,jar
8,,onions,1.29,lb
9,,peppers,2.49,lb
10,,pork loin,6.99,lb
